loc_rowid,pl_hostname,pl_pnum,pl_orbper,pl_radj
2328,Kepler-293,2,19.25419600,0.274
2329,Kepler-293,2,54.15574300,0.342
2330,Kepler-294,2,3.70121200,0.158
2331,Kepler-294,2,6.62640000,0.242
2332,Kepler-295,3,12.64516400,0.109
2333,Kepler-295,3,21.52625800,0.104
2334,Kepler-295,3,33.88405400,0.121
2335,Kepler-296,5,10.86438400,0.144
2336,Kepler-296,5,5.84163660,0.178
2337,Kepler-296,5,19.85029100,0.186
2338,Kepler-296,5,34.14211000,0.136
2339,Kepler-296,5,63.33627000,0.161
2340,Kepler-297,2,38.87182600,0.256
2341,Kepler-297,2,74.92013700,0.583
2342,Kepler-298,3,10.47546400,0.175
2343,Kepler-298,3,22.92881000,0.172
2344,Kepler-298,3,77.47363300,0.223
2345,Kepler-299,4,2.92712800,0.118
2346,Kepler-299,4,6.88587500,0.236
2347,Kepler-299,4,15.05478600,0.166
2348,Kepler-299,4,38.28548900,0.167
2349,Kepler-30,3,29.33434000,0.348
2350,Kepler-30,3,60.32310500,1.097
2351,Kepler-30,3,143.34394000,0.785
2352,Kepler-300,2,10.44634700,0.149
2353,Kepler-300,2,40.71495500,0.201
2354,Kepler-301,3,2.50855300,0.120
2355,Kepler-301,3,5.41902600,0.120
2356,Kepler-301,3,13.75124300,0.156
2357,Kepler-302,2,30.18410400,0.362
2358,Kepler-302,2,127.28218400,1.111
2359,Kepler-303,2,1.93705500,0.079
2360,Kepler-303,2,7.06114900,0.102
2361,Kepler-304,4,3.29570900,0.255
2362,Kepler-304,4,5.31594600,0.194
2363,Kepler-304,4,9.65347100,0.245
2364,Kepler-304,4,1.49914695,0.107
2365,Kepler-305,3,5.48700000,0.321
2366,Kepler-305,3,8.29100000,0.294
2367,Kepler-305,3,16.73866100,0.242
2368,Kepler-306,4,4.64618600,0.136
2369,Kepler-306,4,7.24019300,0.210
2370,Kepler-306,4,17.32664400,0.220
2371,Kepler-306,4,44.84097500,0.203
2372,Kepler-307,2,10.42080000,0.217
2373,Kepler-307,2,13.07290000,0.196
2374,Kepler-308,2,9.69492800,0.189
2375,Kepler-308,2,15.38231000,0.193
2376,Kepler-309,2,5.92365300,0.139
2377,Kepler-309,2,105.35638300,0.224
2378,Kepler-31,3,20.86130000,0.491
2379,Kepler-31,3,42.63180000,0.473
2380,Kepler-31,3,87.64510000,0.348
2381,Kepler-310,3,13.93069800,0.106
2382,Kepler-310,3,56.47542000,0.302
2383,Kepler-310,3,92.87612500,0.220
2384,Kepler-311,2,9.17609200,0.152
2385,Kepler-311,2,19.73828600,0.128
2386,Kepler-312,2,1.77241900,0.115
2387,Kepler-312,2,19.74741200,0.281
2388,Kepler-313,2,14.97041800,0.226
2389,Kepler-313,2,32.27327300,0.229
2390,Kepler-314,2,2.46106900,0.074
2391,Kepler-314,2,5.96039200,0.259
2392,Kepler-315,2,96.10114100,0.336
2393,Kepler-315,2,265.46933500,0.370
2394,Kepler-316,2,2.24050800,0.095
2395,Kepler-316,2,6.82776600,0.103
2396,Kepler-317,2,5.52424200,0.186
2397,Kepler-317,2,8.77501000,0.153
2398,Kepler-318,2,4.66271500,0.420
2399,Kepler-318,2,11.81500700,0.328
2400,Kepler-319,3,4.36270500,0.145
2401,Kepler-319,3,6.94135700,0.235
2402,Kepler-319,3,31.78192500,0.204
2403,Kepler-32,5,5.90124000,0.196
2404,Kepler-32,5,8.75220000,0.178
2405,Kepler-32,5,22.78020000,0.241
2406,Kepler-32,5,2.89600000,0.134
2407,Kepler-32,5,0.74296000,0.073
2408,Kepler-320,2,8.37155400,0.102
2409,Kepler-320,2,17.93493700,0.122
2410,Kepler-321,2,4.91537900,0.158
2411,Kepler-321,2,13.09392100,0.207
2412,Kepler-322,2,1.65388800,0.090
2413,Kepler-322,2,4.33723400,0.149
2414,Kepler-323,2,1.67832700,0.128
2415,Kepler-323,2,3.55382200,0.145
2416,Kepler-324,2,4.38531500,0.102
2417,Kepler-324,2,51.80561200,0.281
2418,Kepler-325,3,4.54443900,0.260
2419,Kepler-325,3,12.76217200,0.227
2420,Kepler-325,3,38.71518500,0.249
2421,Kepler-326,3,2.24832900,0.136
2422,Kepler-326,3,4.58035800,0.125
2423,Kepler-326,3,6.76688800,0.108
2424,Kepler-327,3,2.54957500,0.099
2425,Kepler-327,3,5.21233300,0.092
2426,Kepler-327,3,13.96945700,0.154
2427,Kepler-328,2,34.92100000,0.205
2428,Kepler-328,2,71.31200000,0.482
2429,Kepler-329,2,7.41639700,0.125
2430,Kepler-329,2,18.68473700,0.172
2431,Kepler-33,5,5.66793000,0.155
2432,Kepler-33,5,13.17562000,0.285
2433,Kepler-33,5,21.77596000,0.477
2434,Kepler-33,5,31.78440000,0.359
2435,Kepler-33,5,41.02902000,0.398
2436,Kepler-330,2,8.25978000,0.120
2437,Kepler-330,2,15.95538700,0.174
2438,Kepler-331,3,8.45749600,0.162
2439,Kepler-331,3,17.28111000,0.164
2440,Kepler-331,3,32.13432800,0.146
2441,Kepler-332,3,7.62632400,0.104
2442,Kepler-332,3,15.99562200,0.097
2443,Kepler-332,3,34.21154000,0.105
2444,Kepler-333,2,12.55115800,0.118
2445,Kepler-333,2,24.08821000,0.099
2446,Kepler-334,3,5.47031900,0.100
2447,Kepler-334,3,12.75800500,0.128
2448,Kepler-334,3,25.09849000,0.126
2449,Kepler-335,2,6.56233100,0.302
2450,Kepler-335,2,67.84446900,0.274
2451,Kepler-336,3,2.02482300,0.091
2452,Kepler-336,3,9.60000100,0.187
2453,Kepler-336,3,20.67877200,0.211
2454,Kepler-337,2,3.29278100,0.137
2455,Kepler-337,2,9.69320100,0.183
2456,Kepler-338,4,13.72697600,0.218
2457,Kepler-338,4,24.31085600,0.209
2458,Kepler-338,4,44.43101400,0.268
2459,Kepler-338,4,9.34100000,0.139
2460,Kepler-339,3,4.97765600,0.127
2461,Kepler-339,3,6.98805500,0.103
2462,Kepler-339,3,10.55834500,0.104
2464,Kepler-340,2,14.84438700,0.226
2465,Kepler-340,2,22.82466900,0.301
2466,Kepler-341,4,5.19552800,0.105
2467,Kepler-341,4,8.01041000,0.152
2468,Kepler-341,4,27.66631300,0.165
2469,Kepler-341,4,42.47326900,0.178
2470,Kepler-342,4,15.17031800,0.201
2471,Kepler-342,4,26.23413800,0.175
2472,Kepler-342,4,39.45935700,0.222
2473,Kepler-342,4,1.64422461,0.079
2474,Kepler-343,2,8.96855000,0.215
2475,Kepler-343,2,23.22182000,0.180
2476,Kepler-344,2,21.96394500,0.233
2477,Kepler-344,2,125.59680900,0.263
2478,Kepler-345,2,7.41556300,0.066
2479,Kepler-345,2,9.38742700,0.107
2480,Kepler-346,2,6.51112700,0.237
2481,Kepler-346,2,23.85154900,0.274
2482,Kepler-347,2,12.79836000,0.176
2483,Kepler-347,2,27.32087100,0.156
2484,Kepler-348,2,7.05677000,0.136
2485,Kepler-348,2,17.26542700,0.119
2486,Kepler-349,2,5.92977800,0.170
2487,Kepler-349,2,12.24762900,0.175
2489,Kepler-350,3,11.18956200,0.165
2490,Kepler-350,3,17.84900000,0.277
2491,Kepler-350,3,26.13600000,0.250
2492,Kepler-351,3,37.05491900,0.273
2493,Kepler-351,3,57.24809000,0.285
2494,Kepler-351,3,142.54424700,0.243
2495,Kepler-352,2,10.05537000,0.077
2496,Kepler-352,2,16.33299500,0.111
2497,Kepler-353,2,5.79527800,0.079
2498,Kepler-353,2,8.41089400,0.123
2499,Kepler-354,3,5.47666000,0.164
2500,Kepler-354,3,16.93440200,0.117
2501,Kepler-354,3,24.20984200,0.111
2502,Kepler-355,2,11.03189000,0.130
2503,Kepler-355,2,25.76229400,0.242
2504,Kepler-356,2,4.61269600,0.140
2505,Kepler-356,2,13.12163200,0.161
2506,Kepler-357,3,6.47543400,0.164
2507,Kepler-357,3,16.85837000,0.238
2508,Kepler-357,3,49.49987500,0.306
2509,Kepler-358,2,34.06046700,0.243
2510,Kepler-358,2,83.48836900,0.254
2511,Kepler-359,3,25.56322200,0.315
2512,Kepler-359,3,57.68802000,0.384
2513,Kepler-359,3,77.09569100,0.358
2514,Kepler-36,2,13.83989000,0.133
2515,Kepler-36,2,16.23855000,0.328
2516,Kepler-360,2,3.28967200,0.147
2517,Kepler-360,2,7.18643400,0.187
2518,Kepler-361,2,8.48661600,0.129
2519,Kepler-361,2,55.18802300,0.225
2520,Kepler-362,2,10.32718600,0.079
2521,Kepler-362,2,37.86628100,0.129
2522,Kepler-363,3,3.61456800,0.103
2523,Kepler-363,3,7.54242700,0.151
2524,Kepler-363,3,11.93212500,0.183
2525,Kepler-364,2,25.74571800,0.138
2526,Kepler-364,2,59.98062700,0.192
2527,Kepler-365,2,10.66490300,0.182
2528,Kepler-365,2,17.78412900,0.146
2529,Kepler-366,2,3.28195900,0.130
2530,Kepler-366,2,12.51616000,0.160
2531,Kepler-367,2,37.81572400,0.116
2532,Kepler-367,2,53.57863700,0.107
2533,Kepler-368,2,26.84768000,0.291
2534,Kepler-368,2,72.37933400,0.346
2535,Kepler-369,2,2.73275600,0.101
2536,Kepler-369,2,14.87157200,0.126
2537,Kepler-37,4,13.36750000,0.029
2538,Kepler-37,4,21.30200000,0.067
2539,Kepler-37,4,39.79220000,0.173
2541,Kepler-370,2,4.57953000,0.142
2542,Kepler-370,2,19.02293000,0.170
2543,Kepler-371,2,34.76327800,0.169
2544,Kepler-371,2,67.96801500,0.159
2545,Kepler-372,3,6.84969200,0.121
2546,Kepler-372,3,20.05376300,0.186
2547,Kepler-372,3,30.09256800,0.151
2548,Kepler-373,2,5.53530900,0.121
2549,Kepler-373,2,16.72594800,0.111
2550,Kepler-374,3,1.89780600,0.092
2551,Kepler-374,3,3.28280700,0.098
2552,Kepler-374,3,5.02821900,0.117
2553,Kepler-375,2,12.12593400,0.129
2554,Kepler-375,2,19.98632600,0.236
2555,Kepler-376,2,4.92019900,0.095
2556,Kepler-376,2,14.17232700,0.160
2557,Kepler-377,2,12.50952900,0.124
2558,Kepler-377,2,27.01497600,0.184
2559,Kepler-378,2,16.09236100,0.067
2560,Kepler-378,2,28.90600900,0.062
2561,Kepler-379,2,20.09838000,0.148
2562,Kepler-379,2,62.78469700,0.204
2564,Kepler-380,2,3.93082100,0.106
2565,Kepler-380,2,7.63000400,0.113
2566,Kepler-381,2,5.62902100,0.088
2567,Kepler-381,2,13.39163500,0.100
2568,Kepler-382,2,5.26215500,0.118
2569,Kepler-382,2,12.16270100,0.142
2570,Kepler-383,2,12.90453200,0.118
2571,Kepler-383,2,31.20075100,0.111
2572,Kepler-384,2,22.59705300,0.100
2573,Kepler-384,2,45.34826900,0.101
2574,Kepler-385,2,10.04368600,0.244
2575,Kepler-385,2,15.16316100,0.271
2576,Kepler-386,2,12.31043000,0.124
2577,Kepler-386,2,25.19345800,0.141
2578,Kepler-387,2,6.79163600,0.092
2579,Kepler-387,2,11.83754900,0.079
2580,Kepler-388,2,3.17331500,0.072
2581,Kepler-388,2,13.29700400,0.077
2582,Kepler-389,2,3.24410700,0.135
2583,Kepler-389,2,14.51143000,0.130
2585,Kepler-390,2,6.73808800,0.073
2586,Kepler-390,2,13.06002200,0.070
2587,Kepler-391,2,7.41675500,0.285
2588,Kepler-391,2,20.48543500,0.316
2589,Kepler-392,2,5.34185300,0.089
2590,Kepler-392,2,10.42311800,0.098
2591,Kepler-393,2,9.18241700,0.115
2592,Kepler-393,2,14.61361200,0.119
2593,Kepler-394,2,8.00501300,0.143
2594,Kepler-394,2,12.13068600,0.148
2595,Kepler-395,2,7.05434600,0.092
2596,Kepler-395,2,34.98926200,0.118
2597,Kepler-396,2,42.99400000,0.312
2598,Kepler-396,2,88.50500000,0.473
2599,Kepler-397,2,22.25094900,0.219
2600,Kepler-397,2,135.49852700,0.551
2601,Kepler-398,3,4.08142300,0.083
2602,Kepler-398,3,11.41941200,0.090
2603,Kepler-398,3,6.83437001,0.079
2604,Kepler-399,3,14.42528100,0.086
2605,Kepler-399,3,26.67569000,0.128
2606,Kepler-399,3,58.03461600,0.169
2609,Kepler-400,2,9.02438900,0.147
2610,Kepler-400,2,17.34082400,0.133
2611,Kepler-401,3,14.38303500,0.153
2612,Kepler-401,3,47.31821800,0.192
2613,Kepler-401,3,184.25640500,0.203
2614,Kepler-402,4,4.02875100,0.109
2615,Kepler-402,4,6.12482100,0.139
2616,Kepler-402,4,8.92109900,0.123
2617,Kepler-402,4,11.24286100,0.130
2618,Kepler-403,3,7.03146200,0.112
2619,Kepler-403,3,54.28074900,0.156
2620,Kepler-403,3,13.61159129,0.127
2621,Kepler-404,2,11.82985100,0.113
2622,Kepler-404,2,14.75116600,0.153
2623,Kepler-405,2,10.61383900,0.186
2624,Kepler-405,2,29.72668200,0.416
2625,Kepler-406,2,2.42629000,0.128
2626,Kepler-406,2,4.62332000,0.076
2627,Kepler-407,2,0.66931000,0.095
2633,Kepler-411,2,3.00516000,0.168
2634,Kepler-411,2,7.83442788,0.292
2637,Kepler-414,2,4.70000000,0.153
2638,Kepler-414,2,7.17100000,0.269
2639,Kepler-415,2,4.17600000,0.108
2641,Kepler-416,2,6.31900000,0.221
2643,Kepler-417,2,12.33100000,0.206
2646,Kepler-419,2,69.75460000,0.960
2648,Kepler-42,3,1.21376720,0.070
2649,Kepler-42,3,0.45328509,0.065
2650,Kepler-42,3,1.86516900,0.051
2654,Kepler-424,2,3.31186440,0.890
2661,Kepler-430,2,35.96800000,0.290
2662,Kepler-430,2,110.97900000,0.160
2663,Kepler-431,3,6.80300000,0.068
2664,Kepler-431,3,8.70300000,0.060
2665,Kepler-431,3,11.92200000,0.100
2666,Kepler-432,2,52.50112900,1.145
2671,Kepler-436,2,64.00205000,0.240
2672,Kepler-436,2,16.79713874,0.208
2681,Kepler-444,5,3.60010530,0.036
2682,Kepler-444,5,4.54588410,0.044
2683,Kepler-444,5,6.18939200,0.047
2684,Kepler-444,5,7.74349300,0.049
2685,Kepler-444,5,9.74048600,0.066
2686,Kepler-445,3,2.98415100,0.140
2687,Kepler-445,3,4.87122900,0.220
2688,Kepler-445,3,8.15275000,0.110
2689,Kepler-446,3,1.56540900,0.130
2690,Kepler-446,3,3.03617900,0.100
2691,Kepler-446,3,5.14892100,0.120
2693,Kepler-449,2,12.58242000,0.183
2694,Kepler-449,2,33.67270000,0.247
2696,Kepler-450,3,28.45485100,0.548
2697,Kepler-450,3,15.41313500,0.234
2698,Kepler-450,3,7.51464000,0.075
2701,Kepler-454,2,10.57375339,0.211
2703,KIC 9663113,2,20.74028413,0.375
2704,Kepler-46,3,33.60134000,0.808
2706,Kepler-46,3,6.76658900,0.146
2707,KIC 5437945,2,220.13033570,0.492
2713,Kepler-466,2,51.07926307,0.254
2714,Kepler-466,2,3.70921385,0.112
2717,Kepler-47,2,49.53200000,0.270
2718,Kepler-47,2,303.13700000,0.411
2729,Kepler-48,4,4.77800000,0.168
2730,Kepler-48,4,9.67395000,0.242
2731,Kepler-48,4,42.89610000,0.182
2740,Kepler-487,2,15.35876840,1.019
2741,Kepler-487,2,38.65199760,0.239
2744,Kepler-49,4,7.20379450,0.243
2745,Kepler-49,4,10.91293430,0.227
2746,Kepler-49,4,2.57654900,0.143
2747,Kepler-49,4,18.59610800,0.139
2759,Kepler-50,2,7.81254000,0.153
2760,Kepler-50,2,9.37647000,0.194
2771,Kepler-51,3,45.15400000,0.633
2772,Kepler-51,3,85.31200000,0.803
2773,Kepler-51,3,130.19400000,0.865
2784,Kepler-52,3,7.87735650,0.187
2785,Kepler-52,3,16.38500210,0.164
2786,Kepler-52,3,36.44517100,0.174
2787,Kepler-520,2,19.67416124,0.148
2788,Kepler-520,2,5.21104261,0.095
2792,Kepler-524,2,7.97419807,0.170
2793,Kepler-524,2,1.88897906,0.086
2798,Kepler-529,2,1.98035766,0.166
2799,Kepler-529,2,12.83450220,0.178
2800,Kepler-53,3,18.64895250,0.258
2801,Kepler-53,3,38.55830380,0.283
2802,Kepler-53,3,9.75196200,0.189
2812,Kepler-539,2,125.63243000,0.747
2814,Kepler-54,3,8.01094340,0.187
2815,Kepler-54,3,12.07172490,0.110
2816,Kepler-54,3,20.99569400,0.136
2826,Kepler-549,2,42.94956490,0.229
2827,Kepler-549,2,117.04049800,0.261
2828,Kepler-55,5,27.94814490,0.217
2829,Kepler-55,5,42.15164180,0.197
2830,Kepler-55,5,2.21109900,0.142
2831,Kepler-55,5,4.61753400,0.138
2832,Kepler-55,5,10.19854500,0.142
2836,Kepler-553,2,4.03046804,0.413
2837,Kepler-553,2,328.23995460,0.999
2844,Kepler-56,3,10.50160000,0.581
2845,Kepler-56,3,21.40239000,0.874
2848,Kepler-561,2,58.36204950,0.621
2849,Kepler-561,2,5.35016198,0.239
2858,Kepler-57,2,5.72931960,0.195
2859,Kepler-57,2,11.60925670,0.138
2870,Kepler-58,3,10.21849540,0.248
2871,Kepler-58,3,15.57415680,0.255
2872,Kepler-58,3,40.10137100,0.262
2883,Kepler-59,2,11.86817070,0.098
2884,Kepler-59,2,17.98012350,0.177
2896,Kepler-60,3,7.13340000,0.153
2897,Kepler-60,3,8.91870000,0.170
2898,Kepler-60,3,11.89810000,0.178
2902,Kepler-603,3,21.05358596,0.236
2903,Kepler-603,3,127.90757740,0.580
2904,Kepler-603,3,6.21712920,0.118
2906,Kepler-605,2,3.38353807,0.128
2907,Kepler-605,2,2.35895152,0.077
2913,Kepler-610,2,6.99692655,0.374
2914,Kepler-610,2,151.86392000,0.294
2920,Kepler-616,2,9.99761851,0.217
2921,Kepler-616,2,90.41135560,0.304
2924,Kepler-619,2,5.40427220,0.282
2925,Kepler-619,2,1.20846503,0.151
2926,Kepler-62,5,5.71493200,0.117
2927,Kepler-62,5,12.44170000,0.048
2928,Kepler-62,5,18.16406000,0.174
2929,Kepler-62,5,122.38740000,0.144
2930,Kepler-62,5,267.29100000,0.126
2936,Kepler-625,2,7.75192492,0.178
2937,Kepler-625,2,4.16536510,0.094
2963,Kepler-65,3,2.15491000,0.127
2964,Kepler-65,3,5.85994400,0.230
2965,Kepler-65,3,8.13123000,0.136
2969,Kepler-653,2,14.70748976,0.174
2970,Kepler-653,2,0.90037648,0.070
2999,Kepler-68,3,5.39875000,0.208
3000,Kepler-68,3,9.60504000,0.089
3012,Kepler-69,2,13.72234100,0.200
3013,Kepler-69,2,242.46130000,0.153
3037,Kepler-712,2,21.02247699,0.304
3038,Kepler-712,2,226.89047000,0.433
3048,Kepler-722,2,4.09357325,0.235
3049,Kepler-722,2,105.14474900,0.252
3059,Kepler-732,2,9.46781405,0.194
3060,Kepler-732,2,0.89304124,0.113
3080,Kepler-750,2,9.42887179,0.274
3081,Kepler-750,2,4.08899022,0.145
3086,Kepler-755,2,1.26909037,0.157
3087,Kepler-755,2,2.85313364,0.112
3090,Kepler-758,4,12.10971040,0.221
3091,Kepler-758,4,4.75793986,0.151
3092,Kepler-758,4,20.49661970,0.189
3093,Kepler-758,4,8.19347190,0.136
3096,Kepler-760,2,8.70419416,0.273
3097,Kepler-760,2,2.46697439,0.132
3106,Kepler-769,2,7.42608998,0.261
3107,Kepler-769,2,15.98701740,0.160
3109,Kepler-770,3,18.92540274,0.205
3110,Kepler-770,3,1.47532231,0.107
3111,Kepler-770,3,4.15244722,0.125
3132,Kepler-79,4,13.48450000,0.310
3133,Kepler-79,4,27.40290000,0.332
3134,Kepler-79,4,52.09020000,0.639
3135,Kepler-79,4,81.06590000,0.311
3147,Kepler-80,6,7.05246000,0.238
3148,Kepler-80,6,9.52355000,0.244
3149,Kepler-80,6,3.07222000,0.136
3150,Kepler-80,6,4.64489000,0.143
3151,Kepler-80,6,0.98678730,0.108
3152,Kepler-80,6,14.64558000,0.101
3157,Kepler-804,2,14.37457351,0.173
3158,Kepler-804,2,9.65185017,0.102
3164,Kepler-81,3,5.95500000,0.216
3165,Kepler-81,3,12.04000000,0.211
3166,Kepler-81,3,20.83784600,0.108
3177,Kepler-82,4,26.44400000,0.357
3178,Kepler-82,4,51.53800000,0.477
3179,Kepler-82,4,2.38296100,0.158
3180,Kepler-82,4,5.90220600,0.220
3186,Kepler-825,2,3.77360059,0.136
3187,Kepler-825,2,8.18182460,0.164
3192,Kepler-83,3,9.77000000,0.252
3193,Kepler-83,3,20.09000000,0.211
3194,Kepler-83,3,5.16979600,0.173
3205,Kepler-84,5,8.72600000,0.199
3206,Kepler-84,5,12.88300000,0.211
3207,Kepler-84,5,4.22453700,0.123
3208,Kepler-84,5,27.43438900,0.232
3209,Kepler-84,5,44.55216900,0.196
3220,Kepler-85,4,8.30600000,0.176
3221,Kepler-85,4,12.51300000,0.194
3222,Kepler-85,4,17.91323000,0.107
3223,Kepler-85,4,25.21675100,0.113
3244,Kepler-87,2,114.73635000,1.204
3245,Kepler-87,2,191.23180000,0.548
3263,Kepler-887,2,20.42228798,0.164
3264,Kepler-887,2,7.63846023,0.101
3277,Kepler-9,3,19.24000000,0.842
3278,Kepler-9,3,38.91000000,0.823
3279,Kepler-9,3,1.59285100,0.146
3283,Kepler-903,2,10.35077210,0.179
3284,Kepler-903,2,62.92285570,0.226
3302,Kepler-92,3,13.74900000,0.313
3303,Kepler-92,3,26.72300000,0.232
3304,Kepler-92,3,49.35680000,0.184
3305,Kepler-920,2,6.53192704,0.216
3306,Kepler-920,2,100.82741130,0.339
3316,Kepler-93,2,4.72673978,0.132
3325,Kepler-937,2,67.66882700,0.332
3326,Kepler-937,2,153.34336400,0.238
3329,Kepler-94,2,2.50806000,0.313
3345,Kepler-953,2,88.40655258,0.376
3346,Kepler-953,2,9.10967112,0.106
3361,Kepler-967,2,13.22713379,0.210
3362,Kepler-967,2,198.71125020,0.326
3363,Kepler-968,2,3.69298373,0.178
3364,Kepler-968,2,5.70940492,0.151
3365,Kepler-969,2,34.17317140,0.185
3366,Kepler-969,2,1.68293460,0.088
3367,Kepler-97,2,2.58664000,0.132
3391,Kepler-990,2,9.91723428,0.232
3392,Kepler-990,2,0.53835431,0.136
3511,TRAPPIST-1,7,1.51087081,0.097
3512,TRAPPIST-1,7,2.42182330,0.094
3513,TRAPPIST-1,7,4.04961000,0.069
3514,TRAPPIST-1,7,6.09961500,0.082
3515,TRAPPIST-1,7,9.20669000,0.093
3516,TRAPPIST-1,7,12.35294000,0.101
3517,TRAPPIST-1,7,18.76700000,0.067
3602,WASP-41,2,3.05240400,1.180
3609,WASP-47,4,4.16071000,1.150
3611,WASP-47,4,9.09500000,0.331
3612,WASP-47,4,0.78963600,0.162
3648,WASP-8,2,8.15871500,1.038
